Abbey Wood,ABW,"London, UK","driving",22690.0,2305.0
Acton Central,ACC,"London, UK","driving",12802.0,1231.0
Acton Main Line,AML,"London, UK","driving",13484.0,1208.0
Addlestone,ASN,"London, UK","driving",45387.0,2843.0
Alexandra Palace,AAP,"London, UK","driving",12080.0,1487.0
Amersham,AMR,"London, UK","driving",46101.0,3159.0
Anerley,ANZ,"London, UK","driving",14107.0,1672.0
Angel Road,AGR,"London, UK","driving",16062.0,1825.0
Apsley,APS,"London, UK","driving",46005.0,2947.0
Ascot (Berks),ACT,"London, UK","driving",49475.0,3328.0
Ashford (Surrey),AFS,"London, UK","driving",30116.0,2419.0
Ashtead,AHD,"London, UK","driving",31242.0,2851.0
Balham,BAL,"London, UK","driving",9403.0,1088.0
Banstead,BAD,"London, UK","driving",25361.0,2628.0
Barbican,ZBB,"London, UK","driving",2967.0,461.0
Barking,BKG,"London, UK","driving",17470.0,1583.0
Barking Underground,ZBK,"London, UK","driving",19021.0,1582.0
Barnehurst,BNH,"London, UK","driving",26844.0,2317.0
Barnes Bridge,BNI,"London, UK","driving",11295.0,1377.0
Bat & Ball,BBL,"London, UK","driving",45872.0,3215.0
Battersea Park,BAK,"London, UK","driving",4645.0,574.0
Bayford,BAY,"London, UK","driving",35954.0,3453.0
Beaconsfield,BCF,"London, UK","driving",42852.0,2754.0
Beckenham Hill,BEC,"London, UK","driving",15749.0,1761.0
Beckenham Junction,BKJ,"London, UK","driving",17399.0,1878.0
Belvedere,BVD,"London, UK","driving",23251.0,2467.0
Berrylands,BRS,"London, UK","driving",21191.0,2080.0
Betchworth,BTO,"London, UK","driving",35920.0,3383.0
Bethnal Green,BET,"London, UK","driving",5451.0,787.0
Bexley,BXY,"London, UK","driving",24586.0,2144.0
Bexleyheath,BXH,"London, UK","driving",23454.0,2130.0
Bickley,BKL,"London, UK","driving",21668.0,2270.0
Birkbeck,BIK,"London, UK","driving",14704.0,1747.0
Blackhorse Road,BHO,"London, UK","driving",14078.0,1655.0
