Abbey Wood,ABW,"['London, UK', 22683.0, 2303.0]"
Acton Central,ACC,"['London, UK', 12802.0, 1231.0]"
Acton Main Line,AML,"['London, UK', 13484.0, 1208.0]"
Addlestone,ASN,"['London, UK', 45387.0, 2843.0]"
Alexandra Palace,AAP,"['London, UK', 12080.0, 1487.0]"
Amersham,AMR,"['London, UK', 46101.0, 3159.0]"
Anerley,ANZ,"['London, UK', 14107.0, 1672.0]"
Angel Road,AGR,"['London, UK', 16062.0, 1825.0]"
Apsley,APS,"['London, UK', 46005.0, 2947.0]"
Ascot (Berks),ACT,"['London, UK', 49475.0, 3328.0]"
Ashford (Surrey),AFS,"['London, UK', 30116.0, 2419.0]"
Ashtead,AHD,"['London, UK', 31242.0, 2864.0]"
Balham,BAL,"['London, UK', 9403.0, 1088.0]"
Banstead,BAD,"['London, UK', 25361.0, 2628.0]"
Barbican,ZBB,"['London, UK', 2967.0, 461.0]"
Barking,BKG,"['London, UK', 17470.0, 1583.0]"
Barking Underground,ZBK,"['London, UK', 19021.0, 1582.0]"
Barnehurst,BNH,"['London, UK', 26837.0, 2316.0]"
Barnes Bridge,BNI,"['London, UK', 11295.0, 1390.0]"
Bat & Ball,BBL,"['London, UK', 45866.0, 3215.0]"
Battersea Park,BAK,"['London, UK', 4645.0, 574.0]"
Bayford,BAY,"['London, UK', 35954.0, 3453.0]"
Beaconsfield,BCF,"['London, UK', 42852.0, 2754.0]"
Beckenham Hill,BEC,"['London, UK', 15743.0, 1761.0]"
Beckenham Junction,BKJ,"['London, UK', 17393.0, 1878.0]"
Belvedere,BVD,"['London, UK', 23244.0, 2466.0]"
Berrylands,BRS,"['London, UK', 21191.0, 2093.0]"
Betchworth,BTO,"['London, UK', 35920.0, 3383.0]"
Bethnal Green,BET,"['London, UK', 5451.0, 787.0]"
Bexley,BXY,"['London, UK', 24579.0, 2143.0]"
Bexleyheath,BXH,"['London, UK', 23447.0, 2129.0]"
Bickley,BKL,"['London, UK', 21662.0, 2270.0]"
Birkbeck,BIK,"['London, UK', 14704.0, 1747.0]"
Blackhorse Road,BHO,"['London, UK', 14078.0, 1655.0]"
Bookham,BKA,"['London, UK', 40354.0, 3266.0]"
Borough Green & Wrotham,BRG,"['London, UK', 44837.0, 2998.0]"
Bowes Park,BOP,"['London, UK', 14010.0, 1698.0]"
Brentford,BFD,"['London, UK', 14609.0, 1496.0]"
Brentwood,BRE,"['London, UK', 47501.0, 2975.0]"
Bricket Wood,BWO,"['London, UK', 34492.0, 2429.0]"
Brimsdown,BMD,"['London, UK', 20567.0, 2207.0]"
Brixton,BRX,"['London, UK', 7011.0, 856.0]"
Brockley,BCY,"['London, UK', 10045.0, 1152.0]"
Bromley North,BMN,"['London, UK', 18810.0, 2070.0]"
Bromley South,BMS,"['London, UK', 19671.0, 2150.0]"
Brondesbury,BSY,"['London, UK', 9736.0, 1146.0]"
Brondesbury Park,BSP,"['London, UK', 8661.0, 1060.0]"
Brookmans Park,BPK,"['London, UK', 31063.0, 2708.0]"
Broxbourne,BXB,"['London, UK', 30555.0, 3178.0]"
Bruce Grove,BCV,"['London, UK', 12708.0, 1500.0]"
Burnham (Bucks),BNM,"['London, UK', 41452.0, 2557.0]"
Bush Hill Park,BHK,"['London, UK', 19435.0, 2124.0]"
Bushey,BSH,"['London, UK', 27005.0, 2572.0]"
Byfleet & New Haw,BFN,"['London, UK', 38463.0, 2923.0]"
Caledonian Rd & Barnsbury,CIR,"['London, UK', 5432.0, 744.0]"
